gold_row_idx,source_pdf,page,output_file
1,27_arastirma_3-libre.pdf,9,27_arastirma_3-libre_page_9.pdf
2,28_arastirma_3-libre.pdf,9,28_arastirma_3-libre_page_9.pdf
3,"AKT 1, 1990.pdf",21,AKT_1_1990_page_21.pdf
4,"AKT 2, 1995.pdf",36,AKT_2_1995_page_36.pdf
5,"AKT 4, 2006.pdf",21,AKT_4_2006_page_21.pdf
6,AKT 4.pdf,19,AKT_4_page_19.pdf
7,"AKT 4b, 2006.pdf",52,AKT_4b_2006_page_52.pdf
8,Albayrak_1998_3UHKB_Koloni caginda_p1-14.pdf,4,Albayrak_1998_3UHKB_Koloni_caginda_p1-14_page_4.pdf
9,Albayrak_2000_ArAn4_testament.pdf,2,Albayrak_2000_ArAn4_testament_page_2.pdf
10,Albayrak_2001_AMMY2000_ma'usu.PDF,5,Albayrak_2001_AMMY2000_ma'usu_page_5.pdf
11,Albayrak_2002_ArAn5_listesi.pdf,2,Albayrak_2002_ArAn5_listesi_page_2.pdf
12,Albayrak_2003_ArAn 6-1_Kanes Karum unun bir mektubu.pdf,3,Albayrak_2003_ArAn_6-1_Kanes_Karum_unun_bir_mektubu_page_3.pdf
13,Albayrak_2003_ArAn6_karum.pdf,4,Albayrak_2003_ArAn6_karum_page_4.pdf
14,AKT 6c.pdf,33,AKT_6c_page_33.pdf
15,AKT 7a.pdf,10,AKT_7a_page_10.pdf
16,AKT 7a.pdf,35,AKT_7a_page_35.pdf
17,Albayrak_1998_3UHKB_Koloni caginda_p1-14.pdf,5,Albayrak_1998_3UHKB_Koloni_caginda_p1-14_page_5.pdf
18,Albayrak_2000_ArAn4_testament.pdf,6,Albayrak_2000_ArAn4_testament_page_6.pdf
19,Albayrak_2000_ArAn4_vasiyetname.pdf,7,Albayrak_2000_ArAn4_vasiyetname_page_7.pdf
20,Albayrak_2001_AMMY2000_ma'usu.PDF,6,Albayrak_2001_AMMY2000_ma'usu_page_6.pdf
21,Albayrak_2002_ArAn5_listesi.pdf,1,Albayrak_2002_ArAn5_listesi_page_1.pdf
22,Albayrak_2003_ArAn 6-1_Kanes Karum unun bir mektubu.pdf,2,Albayrak_2003_ArAn_6-1_Kanes_Karum_unun_bir_mektubu_page_2.pdf
23,Albayrak_2003_ArAn6_karum.pdf,1,Albayrak_2003_ArAn6_karum_page_1.pdf
24,Albayrak_2008_AOF 35-1_The Topynym Balihum in the Kültepe Texts.pdf,2,Albayrak_2008_AOF_35-1_The_Topynym_Balihum_in_the_Kültepe_Texts_page_2.pdf
25,Albayrak_2008_The Toponim Balihum..Altorientalische Forschungen.pdf,4,Albayrak_2008_The_Toponim_Balihum..Altorientalische_Forschungen_page_4.pdf
26,"Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf",12,Albayrak_İrfan_-_1963_yili_kazilarinda_ele_geçen_yerlı_halkla_ılgılı_bır_kültepe_tabletı._UHKB_5_2005_21-32_page_12.pdf
27,"Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf",3,Albayrak_İrfan_-_1963_yili_kazilarinda_ele_geçen_yerlı_halkla_ılgılı_bır_kültepe_tabletı._UHKB_5_2005_21-32_page_3.pdf
28,Adams_1982_Property_Rights.PDF,3,Adams_1982_Property_Rights_page_3.pdf
29,"Alexander, Robert L. - Native Group Cylinder Seal Engravers of Karum Kanish Level II. Belleten 43 (171-172), 1979 573-618.pdf",5,Alexander_Robert_L._-_Native_Group_Cylinder_Seal_Engravers_of_Karum_Kanish_Level_II._Belleten_43_(171-172)_1979_573-618_page_5.pdf
30,"Ali , Ayhan , Hasan_2003_IV. Kayseri ve Yoresi Tarih Sempozyumu Bildirileri.PDF",5,Ali__Ayhan__Hasan_2003_IV._Kayseri_ve_Yoresi_Tarih_Sempozyumu_Bildirileri_page_5.pdf
36,Alp_sahhan und luzzi.pdf,2,Alp_sahhan_und_luzzi_page_2.pdf
37,Alp_spasiya and sapasalli.pdf,2,Alp_spasiya_and_sapasalli_page_2.pdf
38,"Alster, B. & Oshima, T. - Sargonic Dinner at Kanes. The Old Assyrian Sargon Legend. Iraq 70, 2007 1-20.pdf",6,Alster_B._&_Oshima_T._-_Sargonic_Dinner_at_Kanes._The_Old_Assyrian_Sargon_Legend._Iraq_70_2007_1-20_page_6.pdf
39,Altman_2001_EA_59.PDF,9,Altman_2001_EA_59_page_9.pdf
