pdf_name,page,ms,used_text_layer,has_akkadian,llm_applied,timestamp
Keibi67-Band 67 (2008).pdf,69,18703,True,False,False,2025-10-09T19:03:14.824180
AKT 7a.pdf,154,127,True,True,False,2025-10-09T19:03:14.952380
"Faist, Betina - Der Fernhandel des assyrischen Reiches. AOAT 265, 2001.pdf",361,3969,True,False,False,2025-10-09T19:03:19.062056
"Günbatti, Cahit - Die Beziehungen zwischen assyrischen Kaufleuten und anatolischen Fürsten aus Kültepe. CDOG 8, 2008 125-136.pdf",6,11760,True,False,False,2025-10-09T19:03:30.904869
CAD (A-N).pdf,2933,26964,True,False,True,2025-10-09T19:03:57.896950
p3_s_a.pdf,42,18007,True,False,False,2025-10-09T19:04:17.209267
Bilgic_1954_Einheimischen(2).PDF,58,14256,True,False,False,2025-10-09T19:04:31.466280
"AnSt 7, 1957.pdf",39,7388,True,False,True,2025-10-09T19:04:38.858416
LeGrain PBS 13.pdf,123,741,True,False,False,2025-10-09T19:04:39.600179
"Soldt, W.H. van ed. - Veenhof Anniversary Volume. PIHANS 89, 2001.pdf",76,481,True,True,False,2025-10-09T19:04:40.345570
"Dercksen, J. G. ed - Anatolia and the Jazira During the Old Assyrian Period. PIHANS 111, 2008 (2).pdf",62,28463,True,False,False,2025-10-09T19:05:08.809170
momrak.pdf,168,10960,True,False,True,2025-10-09T19:05:20.247772
"Veenhof, Klaas R. - The Archive of Kuliya, Son of Ali-abum (Kt. 92-k 188-263). TTKY VI, AKT 5, 2008 (preprint).pdf",23,19815,True,False,True,2025-10-09T19:05:40.063265
Kt c-k (Dercksen).pdf,102,102,True,True,False,2025-10-09T19:05:40.165823
"GKT, 1968.pdf",215,62,True,True,False,2025-10-09T19:05:40.324624
Hertel_2013_OAAS6_OA legal practices.pdf,455,15390,True,False,False,2025-10-09T19:05:55.739987
CAD (N-Z).pdf,365,25727,True,False,True,2025-10-09T19:06:21.467448
